titulo;colacion;autor;anyo;revista;tipo;cita_corta;
Catalogo anotado de las especies venezolanas de musgos (Bryophyta) pertenecientes al Herbario Nacional de Venezuela;28: 103-147;Morales, T & García, M;2006;Tropical Bryology ;Revisión;Morales & García 2006;
Los Musgos de Venezuela: elementos para su estudio. Trabajo de ascenso. Universidad Experimental Libertador, Instituto Pedagogico de Caracas, Departamento de Biología y Quimica, Caracas, Venezuela.;;Moreno, E;1990;;Trabajo de ascenso ;Moreno 1990;
Lista comentada de los musgos (Bryophyta) en la región central de la Cordillera de la Costa venezolana colectados por E. Rutkis. I;29(2): 165-181;Moreno, E. & Morales, T;2008;Cryptogamie, Bryologie ;Revisión;Moreno & Morales 2008;
Musci Venezuelenses novi a Prof. C. Goebel collecti;83: 327-341;Müller, C;1897;Flora ;Nuevos reportes;Müller 1897;
A revision of Grimmia (Musci, Grimmiaceae) in the Americas. 1: Latin America;86: 118-191;Muñoz, J;1999;Ann. Missouri Bot. Gard.;Revisión;Muñoz 1999;
Revision of the neotropical Bryoideae, Musci I. ;29: 49-154;Ochi, H;1980;Journal of the Faculty of Education, Tottori University, Natural Science;Revisión;Ochi 1980;
A revision of the neotropical Bryoideae, Musci II;;Ochi, H;1981;Journal of the Faculty of Education, Tottori University, Natural Science;Revisión;Ochi 1981;
Los musgos de Venezuela;3: 353-389;Pittier, H;1936;Bol. Soc. Venez. Ci. Nat.;Listado;Pittier 1936;
Caracterización Briofitica de Humedales en la Sierra del Norte de Merida, Venezuela. Tesis de Maestría. Universidad de Los Andes. Facultad de Ciencias. Centro Jardín Botánico de Mérida. Mérida. Venezuela. ;;Potentini, M. F;2008;Tesis;Tesis;Potentini 2008;
Un censo de los musgos de Venezuela;76: 473-500;Pursell, R;1973; Bryologist;Revisión;Pursell 1973;
Cheilothela vaginata and Syrrhopodon steyermarkii, two new moss species from Venezuela;23: 390–392;Robinson, H;1972;Phytologia;Nuevos reportes;Robinson 1972;
Missouri Botanical Garden. <http://www.tropicos.org>;;Tropicos.org;2012;;Base de Datos;Tropicos.org;
Missouri Botanical Garden.  <http://www.tropicos.org>;;Tropicos.org (ANBRY);2012;;Base de Datos;Tropicos.org (ANBRY);
Musgos terrestres del Bosque Nublado de la Sierra Nevada de Mérida. Tesis de pregrado. Universidad de Los Andes. Facultad de Ciencias. Centro Jardín Botánico de Mérida. Mérida. Venezuela. ;;Ussher, M. S 2003;2003;;Tesis;Ussher 2003;
New bryophyte records for Venezuela, the state of Mérida and the Sierra Nevada National Park;32: 60-73;Ussher M. S. & León, Y.;2010;Tropical Bryology;Nuevos reportes ;Ussher & León 2010;
“Musgos p.p.” (Bartramia mathewsii ssp. synoica Fransén, Campylopus longicellularis J.-P. Frahm, Eucamptodontopsis tortuosa H. Rob., Hookeriopsis venezuelensis E.B. Bartram, Leiomela lopezii D. Griffin III., Orthotrichum spanotrichum Lewinsky, Orthotrichum tenuicaule Lewinsky, Pleuridium venezuelanum D. G. Griffin, Racomitrium steerei Griffin D., Rhaphidostichum elegans H. Rob., Steyermarkiella anomalodictya H. Rob, Trichosteleum bolivarense H. Rob, Wijkia alstonii (E.B. Bartram) Ireland, Zygodon longicellularis D. G. Griffin, Zygodon venezuelensis D. G. Griffin) En: Libro rojo de la Flora Venezolana (Huérfano, A., I. Fedón y J. Mostacero, eds.) 2da. Edición. Provita – Fundación Polar – Fundación Instituto Botánico de Venezuela. En prensa.;;León, Y., Ussher, M. S. & Rojas, C. A;2013;;Lista Roja;León et al. 2013a;
“Musgos p.p.” (Aloinella venezuelana Griffin, Calyptrochaeta nutans (Hampe) S. P. Churchill, Didymodon paramicola (H. Rob.) O. Werner, J.A. Jimenez & R.M Ros, Pilotrichum andersonii Crosby, Syrrhopodon steyermarkii H. Rob.) En: Libro rojo de la Flora Venezolana (Huérfano, A., I. Fedón y J. Mostacero, eds.) 2da. Edición. Provita – Fundación Polar – Fundación Instituto Botánico de Venezuela. En prensa. ;;León, Y., Ussher, M. S., Rojas, C. A. & Laborda, J;2013;;Lista Roja;León et al. 2013b;
“Musgos p.p.” (Ditrichum bogotense (Hampe) Broth., Sphagnum fraudulentum H. A. Crum, Sphagnum funkiae H. A. Crum, Sphagnum juliforme H.A. Crum, Sphagnum liesneri  H. A. Crum, Sphagnum reclinatum H. A. Crum, Sphagnum simplicicaulis H. A. Crum, Sphagnum sipmanii  H. A. Crum, Trachyxiphium steerei (D. G. Griffin) S. P. Churchill) En: Libro rojo de la Flora Venezolana (Huérfano, A., I. Fedón y J. Mostacero, eds.) 2da. Edición. Provita – Fundación Polar – Fundación Instituto Botánico de Venezuela. En prensa.;;Ussher, M. S. & León, Y;2013;;Lista Roja;Ussher & León 2013;
“Musgos p.p.” (Trachyxiphium glanduliferum (Hampe) S.P. Churchill & E. Linares) En: Libro rojo de la Flora Venezolana (Huérfano, A., I. Fedón y J. Mostacero, eds.) 2da. Edición. Provita – Fundación Polar – Fundación Instituto Botánico de Venezuela. En prensa. ;;Ussher, M. S., León, Y. & Laborda, J;2013;;Lista Roja;Ussher et al. 2013;
“Musgos p.p.” (Cyrto-hypnum frontinoae (Müll. Hal.) S.P. Churchill & E. Linares) En: Libro rojo de la Flora Venezolana (Huérfano, A., I. Fedón y J. Mostacero, eds.) 2da. Edición. Provita – Fundación Polar – Fundación Instituto Botánico de Venezuela. En prensa.;;León, Y. & Ussher, M. S;2013;;Lista Roja;León & Ussher 2013;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
