division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;subjugorum;;;Broth.;Campylopus subjugorum;Campylopus_subjugorum;;6;;0;Am 4.;Venezuela, Colombia, Ecuador, Per£ y Bolivia;Bolivia,  Colombia,  Ecuador y Per£;;;Terrestre, Sax°cola;Suelo, Humus # Roca;;;;;;;;Crece en suelo h£medo-h£mico, rocas mojadas y sobre suelo entre rocas
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;subulatus;;;Schimp. ex J. Milde;Campylopus subulatus;Campylopus_subulatus;;6;;0;;;China,  Alemania,  Islandia,  Italia,  Jap¢n,  Noruega,  Mongolia y Reino Unido;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;surinamensis;;;MÅll;Campylopus surinamensis;Campylopus_surinamensis;;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;tallulensis;;;Sull. & Lesq.;Campylopus tallulensis;Campylopus_tallulensis;;6;;0;Am 1, Am 2, Am 4.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;trachyblepharon;;;(MÅll. Hal.) Mitt.;Campylopus trachyblepharon;Campylopus_trachyblepharon;;6;;0;Am 4, Am 5.;;Brasil,  Caribe,  Guyana,  Surinam;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;trichophylloides;;;ThÇriot;Campylopus trichophylloides;Campylopus_trichophylloides;;6;;0;Am 4.;Venezuela, Colombia, Ecuador, Per£ y Bolivia;Bolivia, Colombia, Ecuador, Per£ y Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;trivialis;;;MÅll. Hal. ex E. Britton;Campylopus trivialis;Campylopus_trivialis;;6;;0;Am 2, Am 4.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Campylopus;zygodonticarpus;;;(Mull) Paris;Campylopus zygodonticarpus;Campylopus_zygodonticarpus;;6;;0;Am 2, Am 4.;;;;;;;;;;;;;;En Pittier 1936 como Dicranum zygodonticarpum MÅll. Hal. 
Bryophyta;Bryopsida;Bryidae;Hypnodendrales;Racopilaceae;1;Campylostelium;venezuelanum;;;Dozy & Molk;Campylostelium venezuelanum;Campylostelium_venezuelanum;;6;;1;Am 4.;Venezuela;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Lembophyllaceae;1;Canalohypopterygium;tamariscinum;;;(Hedw.) Kruijer;Canalohypopterygium tamariscinum;Canalohypopterygium_tamariscinum;;6;;0;;;;;;Sax°cola, Ep°fito;Roca # Bejuco;;;;;;;;En Pittier 1936 como Hypopterygium flavescens Hampe
Bryophyta;Bryopsida;Bryidae;Hypnales;Hypnaceae;1;Caribaeohypnum;polypterum;;;(Mitt.) Ando & Higuchi;Caribaeohypnum polypterum;Caribaeohypnum_polypterum;;6;;0;Am 2, Am 3, Am 4;;;;;Terrestre;Suelo, Humus;;;;;;;;En Griffin 1975 como Hypnum polypterum (Mitt.) Broth. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Catagoniaceae;1;Catagonium;brevicaudatum;;;MÅll. Hal;Catagonium brevicaudatum;Catagonium_brevicaudatum;;6;;0;Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Catagoniaceae;0;Catagonium;politum;;;(Hook. f. & Wilson) DusÇn ex Broth.;Catagonium politum;Catagonium_politum;;6;;0;;;Australia,  Colombia,  Costa Rica,  Ecuador,  Nueva Caledonia y Nueva Zelanda;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Ditrichaceae;1;Ceratodon;purpureus;;;(Hedw.) Brid.;Ceratodon purpureus;Ceratodon_purpureus;;6;;0;Cosm.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Ditrichaceae;0;Ceratodon;purpureus;;subsp. stenocarpus;(Bruch & Schimp.) Dixon;Ceratodon purpureus subsp. stenocarpus;Ceratodon_purpureus_stenocarpus;;7;;0;Am 1, Am 2, Am 4, Am 5 Afr 1, Afr 4, As 3, As 4, Austr 2, Eur.;;Venezuela;;;;;;;;;;;;En Pursell 1973 como Ceratodon stenocarpus Bruch & Schimp. Ex C. MÅll y como Ceratodon venezuelensis C. MÅll . En Pittier 1936 como Ceratodon stenocarpus Bruch & Schimp. Ex C. MÅll  y como Ceratodon venezuelensis .En MERF como Ceratodon stenococarpus
Bryophyta;Bryopsida;Dicranidae;Dicranales;Ditrichaceae;1;Ceratodon;semilunaris;;;MÅll. Hal.;Ceratodon semilunaris;Ceratodon_semilunaris;;6;;1;;;;;;;;;;;;;;;
