division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Bryidae;Rhizogonales;Rhizogoniaceae;1;Pyrrhobryum;mnioides;;;(Hook.) Wilson;Pyrrhobryum mnioides;6;;0;Am 2, Am 4, Am 6, Austr 1, Austr 2.;;Colombia, Venezuela, Ecuador,  Bolivia. Venezuela  1500-3670 mts,;;;Terrestre;Suelo, Humus;;;;;;;;En Griffin III 1977c como Rhizogonium mnioides (Hook.) Wilson
Bryophyta;Bryopsida;Bryidae;Rhizogonales;Rhizogoniaceae;1;Pyrrhobryum;spiniforme;;;(Hedw.) Mitt.;Pyrrhobryum spiniforme;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Am 6, Afr 2, Afr 3, Afr 4, As 2, As 3, As 4, Austr 1, Austr 2, Oc.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Epífito;Madera en descomposición;;;;;;;;En Pittier 1936 como Pyrrhobryum spiniforme (Hedw.) Mitt.
Bryophyta;Bryopsida;Bryidae;Rhizogonales;Rhizogoniaceae;1;Rhizogonium;lindigii;;;(Hampe) Mitt.;Rhizogonium lindigii;6;;0;;;;;;Terrestre, Saxícola;Suelo arenoso # Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Rigodiaceae;1;Rhizogonium;novae-hollandiae;;;(Brid.) Brid.;Rhizogonium novae-hollandiae;6;;0;Am 2, Am 4, Am 6, As 2, Austr 1, Austr 2.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Terrestre;Talud;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Grimmiales;Seligeraceae;1;Rigodium;toxarion;;;(Schwägr.) A. Jaeger;Rigodium toxarion;6;;0;Am 2, Am 3, Am 4, Am 5, Am 6, Afr 2, Afr 3, Afr 4.;;Costa Rica,  Colombia. Venezuela,  Perú,  Bolivia,  Ecuador. Venezuela 2750-3600 mts;;;;;;;;;;;;En Pittier 1936 como Rigodium solutum (Taylor) Paris
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Blindia;magellanica;;;Schimp.;Blindia magellanica;6;;0;Am 4, Am 5, Am 6, Afr 4, As 4, Austr 1, Austr 2.;;Venezuela,  Colombia,  Ecuador,  Bolivia;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;esmeraldicum;;;(Müll. Hal.) W. R. Buck;Acroporium esmeraldicum;6;;0;Am 4.;Venezuela, Ecuador y Bolivia;"Venezuela, Bolivia,  Ecuador. Ecuador  High montane cloud forest and shrubby páramo and puna; epiphytic,  on trunks and branches of treelets and shrubs. Tropical Andes,  at elevations from 2930-3700 m Venezuela: 2930-3700 m,  Ecuador: ? m,  Bolivia: 3050-3440 m.";;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;estrellae;;;(Müll. Hal) W.R. Buck & Schälp;Acroporium estrellae;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;pungens;;;(Hedw.) Broth.;Acroporium pungens;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Epífito;Rama, Tronco;;;;;;;;En Pittier 1936 como Sematophyllum pungens (Hedw.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Aptychella;proligera;;;(Broth.) Herzog;Aptychella proligera;6;;0;Am 2, Am 3, Am 4, Am 5.;;Colombia, Ecuador , Venezuela,  Bolivia,  Perú. Ecuador  2940-3750 mts;;;Epífito;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Clastobryum;pungens;;;(Müll. Hal.) Tixier;Clastobryum pungens;6;;0;;;;;;;;;;;;;;;En Pittier 1936 como Schraderella pungens Müll. Hal.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Colobodontium;vulpinum;;;(Mont.) S. P. Churchill & W. R. Buck;Colobodontium vulpinum;6;;0;Am 4, Am 5.;;Brasil, Colombia, Ecuador, Perú, Surinam, Venezuela;;;;;;;;;;;;En Pursell 1973 como Potamium vulpinum (Mont.) Mitt.
