Callicosta andersonii; (Crosby) Crosby ;Pilotrichum andersonii Crosby;Pilotrichum andersonii;;
Callicosta fendleri ;(Müll. Hal.) Crosby ;Pilotrichum fendleri Müll. Hal.;Pilotrichum fendleri;;
Callicosta longicaulis; (Broth.) Crosby;Pilotrichum longicaule Broth.;Pilotrichum longicaule;;
Callicosta ramosissima ;(Mitt.) Crosby ;Pilotrichum ramosissimum Mitt.;Pilotrichum ramosissimum;;
Daltonia fendleri ;Müll. Hal;Daltonia stenophylla Mitt.;Daltonia stenophylla;;
Eriopus setigerus ;Mitt;Calyptrochaeta setigera (Mitt.) W.R. Buck;Calyptrochaeta setigera;;
Lepidopilum aureofulvum ;Müll. Hal.;Lepidopilum longifolium Hampe;Lepidopilum longifolium;;
Lepidopilum goniothecium ;Müll. Hal.;Lepidopilum muelleri (Hampe) Hampe;Lepidopilum muelleri;;
Lepidopilum mnioides ;Müll. Hal.;Lepidopilum polytrichoides (Hedw.) Brid.;Lepidopilum polytrichoides;;
Lepidopilum purpurascens; Schimp. ex Besch.;Lepidopilum scabrisetum (Schwägr.) Steere;Lepidopilum scabrisetum;;
Lepidopilum subenerve ;Brid. ;Lepidopilum scabrisetum (Schwägr.) Steere;Lepidopilum scabrisetum;;
Lepidopilum subpolytrichoides ;Müll. Hal.;Lepidopilum polytrichoides (Hedw.) Brid.;Lepidopilum polytrichoides;;
Leskeodon elongatus ;(Mitt.) S. P. Churchill & E. Linares C. ;Leskeodon cubensis (Mitt.) Thér.;Leskeodon cubensis;;
Campylopus annotinus ;Mitt.;Campylopus heterostachys (Hampe) A. Jaeger;Campylopus heterostachys;;
Campylopus atratus ;Broth.;Campylopus richardii Brid.;Campylopus richardii;;
Campylopus benedictii ;Herzog;Campylopus reflexisetus (Müll.Hal) Broth;Campylopus reflexisetus;;
Campylopus breweri ;E.B. Bartram;Campylopus areodictyon (Müll. Hal.) Mitt.;Campylopus areodictyon;;
Campylopus bolivarensis ;Bartr.;Campylopus cuspidatus var. cuspidatus (Hornsch) Mitt.;Campylopus cuspidatus var. cuspidatus;;
Campylopus caracasanus ;(Müll. Hal.) Paris;Campylopus richardii Brid.;Campylopus richardii;;
Campylopus chrismarii ;(Müll. Hal.) Mitt.;Campylopus nivalis (Brid.) Brid.;Campylopus nivalis;;
Campylopus chrysodictyon; (Hampe) Mitt.;Campylopus pauper var. pauper ;Campylopus pauper var. pauper;;
Campylopus crispicoma; (Müll. Hal.) A. Jaeger;Campylopus arctocarpus var. artocarpus;Campylopus arctocarpus var. artocarpus;;
Campylopus erectus ;(Müll. Hal.) Mitt ;Campylopus pilifer var. pilifer;Campylopus pilifer var. pilifer;;
Campylopus exaltatus ;(Müll. Hal.) Paris;Campylopus lamellinervis var. exaltatus (C. Müll) J-P Frahm;Campylopus lamellinervis var. exaltatus;;
Campylopus falcatulus ;E.B. Bartram;Campylopus arctocarpus var. caldensis (Aongstroem) J.-P. Frahm;Campylopus arctocarpus var. caldensis;;
Campylopus fendleri ;(Müll. Hal.) Paris;Campylopus pauper var. pauper ;Campylopus pauper var. pauper;;
Campylopus filifolius ;(Hornsch.) Mitt.;Bryohumbertia filifolia (Hornsch.) J.-P. Frahm;Bryohumbertia filifolia;;
